,date,citedCount
the ontogenesis of speech acts, 26 September 2008,728
the achievement and antecedents of labelling, 26 September 2008,524
the child language data exchange system, 26 September 2008,394
a cross-language study of prosodic modifications in mothers' and fathers' speech to preverbal infants, 17 February 2009,383
children use syntax to learn verb meanings, 17 February 2009,369
the development of conversation between mothers and babies, 26 September 2008,350
early lexical development comprehension and production, 26 September 2008,320
the eyes have it lexical and syntactic comprehension in a new paradigm, 17 February 2009,307
dual language exposure and early bilingual development, 22 March 2011,291
developing language in a developing body the relationship between motor development and language development, 25 January 2010,289
infants' ability to consult the speaker for clues to word reference, 26 September 2008,271
continuity in lexical and morphological development a test of the critical mass hypothesis, 26 September 2008,269
the child language data exchange system an update, 17 February 2009,265
"child-directed speech relation to socioeconomic status, knowledge of child development and child vocabulary skill", 03 January 2008,252
early bilingual development one language or two?, 17 February 2009,245
the validity of a parent report instrument of child language at twenty months, 17 February 2009,242
developmental and stylistic variation in the composition of early vocabulary, 26 September 2008,239
early object labels the case for a developmental lexical principles framework[], 26 September 2008,233
the differential effect of storybook reading onpreschoolers' acquisition of expressive and receptive vocabulary, 01 February 1997,230
"early lexical acquisition rate, content, and the vocabulary spurt", 17 February 2009,229
the acquisition and development of language by bilingual children, 26 September 2008,216
language differentiation in early bilingual development, 26 September 2008,209
encouraging narratives in preschoolersan intervention study , 01 February 1999,204
"holophrases, speech acts and language universals", 26 September 2008,204
feedback to first language learners the role of repetitions and clarification questions, 26 September 2008,201
measuring early language development in preschool children with autism spectrum disorder using the macarthur communicative development inventory (infant form), 17 March 2003,192
lexically-based learning and early grammatical development, 01 February 1997,188
the prosody of maternal speech infant age and context related changes, 26 September 2008,185
"nursery rhymes, phonological skills and reading", 17 February 2009,184
brown & hanlon revisited mothers' sensitivity to ungrammatical forms, 26 September 2008,181
gestures and words during the transition to two-word speech, 26 September 2008,179
"games, social exchange and the acquisition of language", 26 September 2008,177
infant vocabulary development assessed with a british communicative development inventory, 16 November 2000,177
bilingual signed and spoken language acquisition from birth implications for the mechanisms underlying early bilingual language acquisition, 25 June 2001,177
characteristics of adult speech which predict children's language development, 26 September 2008,175
how the prosodic cues in motherese might assist language learning, 17 February 2009,174
how children talk about what happened, 26 September 2008,171
directive interactions and early vocabulary development the role of joint attentional focus, 17 February 2009,165
requests and responses in children's speech, 26 September 2008,163
early talk about the past the origins of conversational stories of personal experience, 17 February 2009,161
the current status of the motherese hypothesis, 26 September 2008,158
joint attention on actions acquiring verbs in ostensive and non-ostensive contexts, 17 February 2009,158
early syntactic creativity a usage-based approach, 05 June 2003,155
subject realization and crosslinguistic interference in the bilingual acquisition of spanish and english what is the role of the input?, 05 June 2003,154
sources of child vocabulary competencea multivariate model, 01 June 1998,154
pointing and social awareness declaring and requesting in the second year, 26 September 2008,153
the acquisition of relative clause comprehension in hebrew a study of sli and normal development, 04 November 2004,152
similarity neighbourhoods of words in young children's lexicons, 17 February 2009,151
infant babbling and speech, 26 September 2008,151
the infant's role in mother–infant communications, 26 September 2008,150
relationships between lexical and phonological development in young children, 18 October 2010,147
why are some verbs learned before other verbs? effects of input frequencyandstructure on children's early verb use, 01 February 1998,147
the acquisition of the voicing contrast in english a study of voice onset time in word-initial stop consonants, 26 September 2008,147
mothers' speech to children and syntactic development some simple relationships, 26 September 2008,145
does frequency count? parental input and the acquisition of vocabulary, 27 June 2008,144
early acquisition of verbs in korean a cross-linguistic study, 26 September 2008,144
turn the page please situation-specific language acquisition, 26 September 2008,143
"caregiver speech and children's use of nouns versusverbs a comparison of english, italian, and mandarin", 01 October 1997,143
young children's use of age-appropriate speech styles in social interaction and role-playing, 26 September 2008,143
"infant gaze following and pointing predict accelerated vocabulary growth through two years of age a longitudinal, growth curve modeling study", 03 January 2008,139
on the ability to provide evaluative comments further explorations of children's narrative competencies, 17 February 2009,139
on the pragmatics of contrast†, 17 February 2009,138
the role of performance limitations in the acquisitionof verb-argument structure an alternative account, 20 March 2001,136
developing linguistic literacy a comprehensivemodel, 10 July 2002,136
complex sentences acquisition of syntactic connectives and the semantic relations they encode, 26 September 2008,135
a comparison of the transition from first words togrammar in english and italian, 01 February 1999,133
adult reformulations of child errors as negative evidence, 07 August 2003,133
early lexical development in spanish-speaking infants and toddlers, 26 September 2008,132
patterns of early lexical and phonological development, 26 September 2008,131
infants can use distributional cues to form syntactic categories, 14 June 2005,129
do children pick and choose? an examination of phonological selection and avoidance in early lexical acquisition, 26 September 2008,129
joint picture-book reading correlates of early oral language skill, 26 September 2008,128
turn taking affects the quality of infant vocalizations, 17 February 2009,127
phonological awareness in young second language learners, 26 September 2008,127
cross-language synonyms in the lexicons of bilingual infants one language or two?, 26 September 2008,126
vocabulary simplification for children a special case of ‘motherese’?, 17 February 2009,126
‘i beg your pardon?’ the preverbal negotiation of failed messages, 26 September 2008,125
"the development of locative expressions in english, italian, serbo-croatian and turkish", 26 September 2008,124
vocalizations of one-year-olds, 26 September 2008,121
the defective tense hypothesis on the emergence of tense and aspect in child polish, 26 September 2008,118
a crosslinguistic investigation of vowel formants in babbling, 17 February 2009,115
syntactic distinctions in child language, 17 February 2009,113
the phonological acquisition of putonghua(modern standard chinese), 01 February 2000,113
a multiple process solution to the logical problem of language acquisition, 01 December 2004,112
on the logic of contrast, 17 February 2009,112
acquiring basic word order evidence for data-drivenlearning of syntactic structure, 01 June 1999,109
the acquisition of tone in mandarin-speaking children, 26 September 2008,109
can bilingual two-year-olds code-switch?, 17 February 2009,107
early delayed language development in very preterm infants evidence from the macarthur-bates cdi, 18 July 2007,106
how vocabulary size in two languages relates to efficiency in spoken word recognition by young spanish–english bilinguals, 03 September 2009,106
the ability to learn new word meanings from context by school-age children with and without language comprehension difficulties, 07 August 2003,106
discourse and the acquisition of grammatical morphemes, 17 February 2009,105
competing language structures the acquisition ofverb placement by bilingual german-englishchildren, 01 October 1998,104
"parent–child picture-book reading, mothers' mental state language and children's theory of mind", 06 September 2005,102
maternal responsive and directive behaviours and utterances as predictors of children's lexical development, 14 February 2005,101
conversational competence in children, 26 September 2008,101
young children's conversations with their mothers and fathers differences in breakdown and repair, 17 February 2009,101
when is a word a word?, 26 September 2008,101
the ubiquity of frequency effects in first language acquisition, 03 February 2015,100
the measurement of whole-word productions, 21 November 2002,99
linguistic factors in children's understanding of idioms, 17 February 2009,99
sampling children's spontaneous speech how much is enough?, 23 February 2004,99
characterizing communicative development in children referred for autism spectrum disorders using the macarthur-bates communicative development inventory (cdi), 18 July 2007,98
words and plans early language and the development of intelligent action, 26 September 2008,98
overextension in early language development, 26 September 2008,98
a metrical template account of children's weak syllable omissions from multisyllabic words, 26 September 2008,98
phonological and acoustic bases for earliestgrammatical category assignment a cross-linguistic perspective, 01 February 1998,97
intonation development from five to thirteen, 01 December 2004,96
mother conversational behaviour as a function of interactional intent, 26 September 2008,95
the development of definitional skill, 17 February 2009,95
early development of nouns and verbs in french exploring the interface between lexicon and grammar, 16 November 2000,94
restructuring of similarity neighbourhoods in the developing mental lexicon, 10 July 2002,93
what's the use of imitation?, 26 September 2008,91
type/token ratios what do they really tell us?, 17 February 2009,91
fathers' and mothers' speech in early language development, 26 September 2008,90
the acquisition of phonology by cantonese-speaking children, 26 September 2008,89
content and context in early lexical development, 26 September 2008,88
eighteen-month-old children learn words in non-ostensive contexts, 26 September 2008,88
measuring productive vocabulary of toddlers in low-income families concurrent and predictive validity of three sources of data, 04 November 2004,88
lexical and grammatical development a behavioural genetic perspective, 16 November 2000,88
an examination of similarity neighbourhoods in young children's receptive vocabularies, 26 September 2008,88
phonological rules in young children, 26 September 2008,88
comprehension and production of gesture in combination with speech in one-word speakers, 17 February 2009,88
language differentiation by the bilingual infant, 26 September 2008,86
the acquisition of italian morphology implications for models of language development, 17 February 2009,86
the acquisition of gender what spanish children tell us, 17 February 2009,85
language development as related to stage 6 object permanence development, 26 September 2008,84
mothers' responses to infants' object-related gestures influences on lexical development, 26 September 2008,84
children's production and comprehension of questions, 26 September 2008,84
"developmental differences in the effects of phonological, lexical and semantic variables on word learning by infants", 02 September 2008,83
the contrast theory of negative input, 01 February 1997,83
"cohesion and anaphora in children's narrativesa comparison of english, french, german, andmandarin chinese", 01 June 1999,83
the psycholinguistics of developing text construction, 06 October 2008,83
individual differences in early vocabulary development redefining the referential-expressive distinction, 17 February 2009,82
performing without competence, 26 September 2008,82
the range of narrative forms conversationally produced by young children, 17 February 2009,82
the relation between grammatical development and mean length of utterance in morphemes, 26 September 2008,82
subject–auxiliary inversion errors and wh-questionacquisition ‘what children do know?’, 01 February 2000,81
similarity of babbling in spanish- and english-learning babies, 26 September 2008,81
young children's responses to neutral and specific contingent queries, 26 September 2008,81
linguistic cues in the acquisition of number words, 01 October 1997,81
the development of the full passive, 26 September 2008,80
the hebrew communicative development inventorylanguage specific properties and cross-linguistic generalizations , 01 February 2000,80
children's comprehension and production of idioms the role of context and familiarity, 17 February 2009,80
late-talking toddlers mlu and ipsyn outcomes at 3;0 and 4;0, 16 November 2000,79
phonotactic probabilities in young children's speech production, 04 November 2004,78
discernible differences in the babbling of infants according to target language, 26 September 2008,77
blind children's language resolving some differences, 26 September 2008,76
private speech evidence for second language learning strategies during the ‘silent’ period, 17 February 2009,75
phonetic development in early infancy a study of four swedish children during the first eighteen months of life, 17 February 2009,74
transitional phenomena in early language acquisition, 26 September 2008,74
a multiple form word production checklist for assessing early language, 17 February 2009,74
phonological specificity in children at 1;2, 14 February 2005,73
learning to use prepositions a case study, 17 February 2009,73
the linguistic marking of agentivity and control in child language, 17 February 2009,72
some contributions of mothers' speech to their children's syntactic growth, 26 September 2008,72
perceptual strategies in prelingual speech segmentation, 26 September 2008,70
speech-like vocalizations in infancy an evaluation of potential risk factors[], 26 September 2008,70
language mixing in young bilinguals, 26 September 2008,70
linguistic input and early word meaning, 17 February 2009,69
patterns of vowel modification in mother–child speech, 26 September 2008,69
early vocabulary development in danish and other languages a cdi-based comparison, 27 June 2008,69
wordbank an open repository for developmental vocabulary data, 18 May 2016,69
vocabulary growth in late talkerslexical development from 2;0 to 3;0, 01 June 2000,69
the speech of two- and three-year-olds to infant siblings ‘baby talk’ and the context of communication, 26 September 2008,69
style and stability in mother conversational behaviour a study of individual differences, 26 September 2008,68
syntax and semantics in the acquisition of locative verbs, 17 February 2009,68
cognitive bases of lexical development object permanence and relational words, 26 September 2008,67
"nouns in early lexicons evidence, explanations and implications", 26 September 2008,66
origins of verbal logic spontaneous denials by two- and three-year olds, 26 September 2008,66
morphology and spelling among hebrew-speaking children from kindergarten to first grade, 23 January 2002,66
phonetic variation in multisyllable babbling, 17 February 2009,65
prosody and the development of comprehension, 17 February 2009,65
phonological neighbourhoods in the developing lexicon, 05 June 2003,65
differential productivity in young children's use ofnouns and verbs, 01 June 1997,65
pathbreaking verbs in syntactic development and thequestion of prototypical transitivity, 01 October 1999,64
television as a talking picture book a prop for language acquisition, 26 September 2008,64
sources of support for learning words inconversation evidence from mealtimes, 01 October 1997,64
the relation of maternal language to variation in rate and style of language acquisition, 26 September 2008,64
"counting nouns and verbs in the input differential frequencies, different kinds of learning?", 16 November 2000,64
the changing status of ‘filler syllables’ on the way to grammatical morphemes, 16 November 2000,63
children's phonological neighbourhoods half empty or half full?, 26 September 2008,63
phonological priming in children's picture naming, 01 June 2000,63
rice balls and bear hunts japanese and north american family narrative patterns, 26 September 2008,62
sensitivity of children's inflection to grammatical structure[], 26 September 2008,62
learning by ear on the acquisition of case and gender marking by german-speaking children with normal hearing and with cochlear implants, 23 February 2004,62
a crosslinguistic study of the relationship between grammar and lexical development, 13 December 2005,62
limits on negative information in language input, 17 February 2009,62
"acquisition of variable rules a study of (-t, d) deletionin preschool children", 01 June 1997,62
mental terms in mothers' and children's speech similarities and relationships, 17 February 2009,61
early lexical development the contribution of parental labelling and infants' categorization abilities, 26 September 2008,61
new names for old things the emergence of metaphoric language, 26 September 2008,61
"maternal speech to prelingual infants in japan and the united states relationships among functions, forms and referents", 17 February 2009,61
language without communication a case study, 26 September 2008,60
the danish communicative developmental inventories validity and main developmental trends, 27 June 2008,60
constraint conflict in cluster reduction, 07 August 2003,59
how do adults and children process referentially ambiguous pronouns?, 23 February 2004,59
"more overregularizations after all new data anddiscussion on marcus, pinker, ullman, hollander,rosen & xu", 01 February 2000,59
intonational differences between the reduplicative babbling of french- and english-learning infants, 17 February 2009,59
"private speech in preschool children developmental stability and change, across-task consistency, and relations with classroom behaviour", 07 August 2003,59
contingent query sequences within adult–child discourse, 26 September 2008,59
quality of adult vocalizations affects the quality of infant vocalizations, 17 February 2009,59
individual differences at 20 months analytic and holistic strategies in language acquisition, 26 September 2008,58
